[-0.01170653011649847, 0.0024533714167773724]
[-0.013270674273371696, 0.0024943186435848475]
[-0.011414393782615662, 0.002314203418791294]
[-0.011550210416316986, 0.0025082812644541264]
[-0.012279189191758633, 0.0013977627968415618]
[-0.011835796758532524, 0.0012973715784028172]
[-0.011520357802510262, 0.0019114190945401788]
[-0.010902364738285542, 0.0007652807980775833]
[-0.01059673260897398, 0.0017982666613534093]
[-0.00972320418804884, 0.0008240886963903904]
[-0.013634982518851757, 0.0006450224900618196]
[-0.011780153028666973, 0.0015115978894755244]
[-0.011045509949326515, 0.0013396136928349733]
[-0.011907355859875679, 0.0005012989859096706]
[-0.011415752582252026, 0.0013415570138022304]
[-0.011568303219974041, 0.0008645486086606979]
[-0.012320573441684246, 0.0012373124482110143]
[-0.012339772656559944, 0.0010182280093431473]
[-0.012372088618576527, 0.0017194595420733094]
[-0.011453093029558659, 0.001265201484784484]
[-0.012157599441707134, 0.0014737489400431514]
[-0.01237539667636156, 0.0025708444882184267]
[-0.012311084195971489, 0.0018078889697790146]
[-0.012915264815092087, 0.002730351174250245]
[-0.014215772040188313, 0.0021615761797875166]
[-0.01427659671753645, 0.002368199173361063]
[-0.012487385421991348, 0.003196252975612879]
[-0.015794282779097557, 0.0024896301329135895]
[-0.01361959520727396, 0.002461806172505021]
[-0.014509557746350765, 0.002837809734046459]
[-0.012268629856407642, 0.002760485513135791]
[-0.013782931491732597, 0.002583643887192011]
[-0.015718577429652214, 0.00272474717348814]
[-0.014782940968871117, 0.003197442041710019]
[-0.01325057353824377, 0.0035195506643503904]
[-0.013569491915404797, 0.0033633580897003412]
[-0.013785048387944698, 0.002844938775524497]
[-0.013404563069343567, 0.003413362428545952]
[-0.012188085354864597, 0.003452724777162075]
[-0.013464166782796383, 0.003081190399825573]
[-0.012408140115439892, 0.0034213392063975334]
[-0.016393590718507767, 0.003969439305365086]
[-0.013451265171170235, 0.0031776432879269123]
[-0.013650973327457905, 0.0032535619102418423]
[-0.015491963364183903, 0.0030080419965088367]
[-0.014625810086727142, 0.0032780265901237726]
[-0.016284730285406113, 0.0031010033562779427]
[-0.014237148687243462, 0.0027424211148172617]
[-0.014529358595609665, 0.003868045983836055]
[-0.017633335664868355, 0.0028332918882369995]
[-0.014964103698730469, 0.0030524369794875383]
[-0.013537954539060593, 0.003278441959992051]
[-0.013244102708995342, 0.003341386094689369]
[-0.009463978931307793, 0.0034906722139567137]
[-0.011496072635054588, 0.003111109370365739]
[-0.010493764653801918, 0.002900650491937995]
[-0.010327580384910107, 0.0032860245555639267]
